1.00783,[M-H]- {H}
18.9984032,[M-F]- {F}
20.0062278,[M-HF]- {C}
40.0124556,[M-H2F2]- {C}
41.0202802,[M-H3F2]- {CC}
41.0202802,[M-H3F2]- {CO}
43.98982926,[M-HCO2]- {O=C(O)}
44.9976546,[M-CO2H]- {C(=O)O}
59.0133038,[M-C2H3O2]- {CC(=O)O}
60.0211,[M-C2H4O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
61.026508,[M-H4F3]- {CC}
65.0038824,[M-CH2FO2]- {CC(=O)O}
76.016,[M-C2H4O3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
81.0327358,[M-H5F4]- {CCO}
85.0101102,[M-CH3F2O2]- {CC(=O)O}
85.0101102,[M-CH3F2O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)}
93.9872,[M-C2HF2O2]- {FC(F)(O)C(=O)O}
96.0223,[M-HF-C2H4O3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
100.016,[M-C4H4O3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
105.016338,[M-CH4F3O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)}
108.9937124,[M-C2H2FO4]- {OC(=O)*.C(=O)O}
112.98504,[M-C2HF3O2]- {O=C(O)C(F)(F)O}
125.0225658,[M-CH5F4O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
125.9928642,[M-C3F3O2H]- {FC(C(C(=O)O)(F)F)O}
130.961448,[M-CHF2SO3]- {C(F)(F)S(=O)(=O)O}
145.0287936,[M-CH6F5O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
152.0017536,[M-C3H6NO4S]- {S(=O)(=O)N(CC(=O)O)C}
163.98967,[M-C3HF5O2]-  {O=C(O)C(F)(F)C(F)(F)O}
165.0350214,[M-CH7F6O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
166.0174028,[M-C4H8NO4S]- {CCN(CC(O)=O)S(=O)(=O)}
180.9582544,[M-C2HF4SO3]- {C(F)(F)C(F)(F)S(=O)(=O)O}
185.0412492,[M-CH8F7O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
205.047477,[M-CH9F8O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
225.0537048,[M-CH10F9O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
230.9550608,[M-C3HF6SO3]- {C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
245.0599326,[M-CH11F10O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
258.9841316,[M-C5H2F7O4]- {OC(=O)*.C(=O)O}
265.0661604,[M-CH12F11O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
280.9518672,[M-C4HF8SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
285.0723882,[M-CH13F12O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
305.078616,[M-CH14F13O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
325.0848438,[M-CH15F14O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
330.9486736,[M-C5HF10SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
345.0910716,[M-CH16F15O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
365.0972994,[M-CH17F16O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
380.94548,[M-C6HF12SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
385.1035272,[M-CH18F17O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
405.109755,[M-CH19F18O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
425.1159828,[M-CH20F19O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
430.9422864,[M-C7HF14SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
445.1222106,[M-CH21F20O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
465.1284384,[M-CH22F21O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
480.9390928,[M-C8HF16SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
485.1346662,[M-CH23F22O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
505.140894,[M-CH24F23O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
525.1471218,[M-CH25F24O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
530.9358992,[M-C9HF18SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
545.1533496,[M-CH26F25O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
565.1595774,[M-CH27F26O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
580.9327056,[M-C10HF20SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
585.1658052,[M-CH28F27O2]- {OC(=O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)}
630.929512,[M-C11HF22SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
680.9263184,[M-C12HF24SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
730.9231248,[M-C13HF26SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
780.9199312,[M-C14HF28SO3]- {C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O}
