AtomicNumber,AtomicSymbol,MassNumber,RelativeMass,IsotopicComposition
1,D,2,1.0062767459,0.0001150132
1,H,2,1.0062767459,0.0001150132
2,He,3,-0.9865739340,0.0000013400
3,Li,6,-1.0008805492,0.0821339682
5,B,10,-0.9963684100,0.2484394507
6,C,13,1.0033548351,0.0108157283
7,N,15,0.9970348945,0.0036532980
8,O,17,1.0042171369,0.0003809256
8,O,18,2.0042449933,0.0020549936
10,Ne,21,1.0014065088,0.0029840849
10,Ne,22,1.9989449378,0.1022325376
12,Mg,25,1.0007952790,0.1265983036
12,Mg,26,1.9975512710,0.1393847322
14,Si,29,0.9995681302,0.0508007764
14,Si,30,1.9968436013,0.0335274281
16,S,33,0.9993877354,0.0078955680
16,S,34,1.9957958296,0.0447415517
16,S,36,3.9950095356,0.0001052742
17,Cl,37,1.9970499200,0.3199577614
18,Ar,36,-3.9948380187,0.0033492799
18,Ar,38,-1.9996510137,0.0006315039
19,K,40,1.0002916796,0.0001254583
19,K,41,1.9981187715,0.0721674578
20,Ca,42,1.9960269670,0.0066741626
20,Ca,43,2.9961755770,0.0013925996
20,Ca,44,3.9928906970,0.0215182431
20,Ca,46,5.9910981370,0.0000412622
20,Ca,48,7.9899318970,0.0019290084
22,Ti,46,-1.9953142600,0.1119099295
22,Ti,47,-0.9961831900,0.1009224091
22,Ti,49,0.9999237000,0.0733857840
22,Ti,50,1.9968449100,0.0702658709
23,V,50,-0.9968010300,0.0025062657
24,Cr,50,-1.9944644000,0.0518564489
24,Cr,53,1.0001419200,0.1133919727
24,Cr,54,1.9983729300,0.0282256621
26,Fe,54,-1.9953273400,0.0637029448
26,Fe,57,1.0004565100,0.0230943610
26,Fe,58,1.9983381000,0.0030734355
28,Ni,60,1.9954434700,0.3851961749
28,Ni,61,2.9957131600,0.0167442749
28,Ni,62,3.9930029600,0.0533895442
28,Ni,64,5.9926244100,0.0135948999
29,Cu,65,1.9981919800,0.4461315980
30,Zn,66,1.9968918000,0.5639617653
30,Zn,67,2.9979857400,0.0821639211
30,Zn,68,3.9957025400,0.3752287980
30,Zn,70,5.9961771900,0.0124059386
31,Ga,71,1.9991290800,0.6636720570
32,Ge,70,-3.9969290110,0.5635616438
32,Ge,72,-1.9991019350,0.7520547945
32,Ge,73,-0.9977188050,0.2123287671
32,Ge,76,2.0002249650,0.2117808219
34,Se,74,-5.9940458660,0.0179399315
34,Se,76,-3.9973080960,0.1888732110
34,Se,77,-2.9966076460,0.1537996372
34,Se,78,-1.9992125200,0.4791372707
34,Se,82,2.0001777000,0.1759725862
35,Br,81,1.9979521000,0.9727756954
36,Kr,78,-5.9911327882,0.0062294909
36,Kr,80,-3.9951196482,0.0401144121
36,Kr,82,-1.9980149982,0.2034323618
36,Kr,83,-0.9973705682,0.2018004106
36,Kr,86,1.9991128987,0.3032095039
37,Rb,87,1.9973907931,0.3856172925
38,Sr,84,-3.9921934000,0.0067813030
38,Sr,86,-1.9963519000,0.1193993703
38,Sr,87,-0.9967350000,0.0847662872
40,Zr,91,1.0009419000,0.2180758017
40,Zr,92,2.0003370000,0.3333333333
40,Zr,94,4.0016131000,0.3378036929
40,Zr,96,6.0035737000,0.0544217687
42,Mo,92,-5.9985968600,0.5957359574
42,Mo,94,-4.0003199200,0.3751537515
42,Mo,95,-2.9995660500,0.6494464945
42,Mo,96,-2.0007287000,0.6834768348
42,Mo,97,-0.9993867000,0.3936039360
42,Mo,100,2.0020669800,0.4026240262
44,Ru,96,-5.9967538500,0.1755942948
44,Ru,98,-3.9990573000,0.0592709984
44,Ru,99,-2.9984100000,0.4044374010
44,Ru,100,-2.0001298000,0.3993660856
44,Ru,101,-0.9987672000,0.5407290016
44,Ru,104,2.0010834000,0.5901743265
46,Pd,102,-3.9978782000,0.0373216246
46,Pd,104,-1.9994499000,0.4076106842
46,Pd,105,-0.9984008000,0.8170508599
46,Pd,108,2.0004112000,0.9681668496
46,Pd,110,4.0016918000,0.4288327845
47,Ag,109,1.9996637000,0.9290495573
48,Cd,106,-7.9969051900,0.0435085277
48,Cd,108,-5.9991816900,0.0309780717
48,Cd,110,-4.0003584800,0.4347372085
48,Cd,111,-2.9991822200,0.4455273234
48,Cd,112,-2.0006022200,0.8398886182
48,Cd,113,-0.9989569600,0.4253393665
48,Cd,116,2.0013980600,0.2607030978
49,In,113,-1.9998169360,0.0448229025
50,Sn,112,-7.9973777600,0.0297728668
50,Sn,114,-5.9994189300,0.0202578269
50,Sn,115,-4.9988569310,0.0104358502
50,Sn,116,-4.0004588300,0.4462860651
50,Sn,117,-2.9992476500,0.2357274401
50,Sn,118,-2.0005950600,0.7434008594
50,Sn,119,-0.9988904600,0.2636586863
50,Sn,122,2.0012421700,0.1421117250
50,Sn,124,4.0030749700,0.1777163904
51,Sb,123,2.0004012000,0.7479461633
52,Te,120,-10.0021634480,0.0026408451
52,Te,122,-8.0031792480,0.0748239437
52,Te,123,-7.0019529480,0.0261150235
52,Te,124,-6.0034056480,0.1390845070
52,Te,125,-5.0017928480,0.2074530516
52,Te,126,-4.0029118480,0.5528169014
52,Te,128,-2.0017614680,0.9313380282
54,Xe,124,-7.9982630856,0.0035379024
54,Xe,126,-5.9998567856,0.0033074928
54,Xe,128,-4.0006240856,0.0709884572
54,Xe,129,-2.9993742245,0.9811212772
54,Xe,130,-2.0006457366,0.1512899222
54,Xe,131,-0.9990710256,0.7890562868
54,Xe,134,2.0012395744,0.3878202508
54,Xe,136,4.0030593984,0.3291624239
56,Ba,130,-7.9989263000,0.0014784234
56,Ba,132,-6.0001859000,0.0014086864
56,Ba,134,-4.0007388200,0.0337108427
56,Ba,135,-2.9995586200,0.0919411978
56,Ba,136,-2.0006712700,0.1095428045
56,Ba,137,-0.9994198600,0.1566570895
57,La,138,-0.9992414000,0.0008888894
58,Ce,136,-3.9983138900,0.0020915772
58,Ce,138,-1.9994521000,0.0028377614
58,Ce,142,2.0038073000,0.1256529112
60,Nd,143,1.0020910000,0.4483647613
60,Nd,144,2.0023640000,0.8764731880
60,Nd,145,3.0048503000,0.3054286977
60,Nd,146,4.0053936000,0.6330657042
60,Nd,148,6.0091703000,0.2119917501
60,Nd,150,8.0131732000,0.2076458456
62,Sm,144,-8.0077332000,0.1147663551
62,Sm,147,-5.0048353000,0.5603738318
62,Sm,148,-4.0049105000,0.4201869159
62,Sm,149,-3.0025476000,0.5166355140
62,Sm,150,-2.0024568000,0.2758878505
62,Sm,154,2.0024772000,0.8504672897
63,Eu,151,-2.0013802000,0.9160758766
64,Gd,152,-6.0043128000,0.0080515298
64,Gd,154,-4.0032382000,0.0877616747
64,Gd,155,-3.0014818000,0.5958132045
64,Gd,156,-2.0019811000,0.8240740741
64,Gd,157,-1.0001437000,0.6300322061
64,Gd,160,2.0029501000,0.8800322061
66,Dy,156,-8.0048972000,0.0019815994
66,Dy,158,-6.0047660000,0.0033616419
66,Dy,160,-4.0039773000,0.0824133050
66,Dy,161,-3.0022414000,0.6684005662
66,Dy,162,-2.0023763000,0.9014508139
66,Dy,163,-1.0004436000,0.8809624912
68,Er,162,-4.0015111000,0.0041488822
68,Er,164,-2.0010907000,0.0477867654
68,Er,167,1.0017551000,0.6825955885
68,Er,168,2.0020772000,0.8052413217
68,Er,170,4.0051707000,0.4450347730
70,Yb,168,-6.0049768000,0.0038406295
70,Yb,170,-4.0041000000,0.0931118466
70,Yb,171,-3.0025362000,0.4399550365
70,Yb,172,-2.0024805000,0.6769499781
70,Yb,173,-1.0006513000,0.5028102167
70,Yb,176,2.0037100000,0.4057952913
71,Lu,176,1.0019145000,0.0266835043
72,Hf,174,-6.0065109000,0.0045610034
72,Hf,176,-4.0051494000,0.1499429875
72,Hf,177,-3.0033293000,0.5302166477
72,Hf,178,-2.0028512000,0.7776510832
72,Hf,179,-1.0007338000,0.3882554162
73,Ta,180,-1.0005310000,0.0001201144
74,W,180,-4.0042201200,0.0039164491
74,W,182,-2.0027269800,0.8648825065
74,W,183,-1.0007081700,0.4670365535
74,W,186,2.0034318800,0.9278720627
75,Re,185,-2.0027956000,0.5974440895
76,Os,184,-8.0089885000,0.0004904365
76,Os,186,-6.0076420000,0.0389897008
76,Os,187,-5.0057296000,0.0480627759
76,Os,188,-4.0056418000,0.3246689554
76,Os,189,-3.0033328000,0.3960274644
76,Os,190,-2.0030333000,0.6439431094
77,Ir,191,-2.0023323000,0.5948963317
78,Pt,190,-5.0048620000,0.0003552398
78,Pt,192,-3.0037530000,0.0231497928
78,Pt,194,-1.0021108000,0.9727649497
78,Pt,196,1.0001603900,0.7462995856
78,Pt,198,3.0031032000,0.2177619893
80,Hg,196,-6.0048108000,0.0050234427
80,Hg,198,-4.0038748000,0.3338914936
80,Hg,199,-3.0023627600,0.5649698593
80,Hg,200,-2.0023168100,0.7736101808
80,Hg,201,-1.0003405600,0.4413931681
80,Hg,204,2.0028505800,0.2300736772
81,Tl,203,-2.0020832000,0.4188422247
82,Pb,204,-4.0036085000,0.0267175573
82,Pb,206,-2.0021868000,0.4599236641
82,Pb,207,-1.0007552000,0.4217557252
92,U,234,-4.0098361000,0.0000543948
92,U,235,-3.0068583000,0.0072566689
